़	0x93c	devanagari_sign_nukta	়	0x9bc	bengali_sign_nukta	਼	0xa3c	gurmukhi_sign_nukta	઼	0xabc	gujarati_sign_nukta	଼	0xb3c	oriya_sign_nukta	஼	0xbbc	False	఼	0xc3c	False	಼	0xcbc	kannada_sign_nukta	഼	0xd3c	malayalam_sign_circular_virama	඼	0xdbc	False	
ऽ	0x93d	devanagari_sign_avagraha	ঽ	0x9bd	bengali_sign_avagraha	਽	0xa3d	False	ઽ	0xabd	gujarati_sign_avagraha	ଽ	0xb3d	oriya_sign_avagraha	஽	0xbbd	False	ఽ	0xc3d	telugu_sign_avagraha	ಽ	0xcbd	kannada_sign_avagraha	ഽ	0xd3d	malayalam_sign_avagraha	ල	0xdbd	sinhala_letter_dantaja_layanna	
ा	0x93e	devanagari_vowel_sign_aa	া	0x9be	bengali_vowel_sign_aa	ਾ	0xa3e	gurmukhi_vowel_sign_aa	ા	0xabe	gujarati_vowel_sign_aa	ା	0xb3e	oriya_vowel_sign_aa	ா	0xbbe	tamil_vowel_sign_aa	ా	0xc3e	telugu_vowel_sign_aa	ಾ	0xcbe	kannada_vowel_sign_aa	ാ	0xd3e	malayalam_vowel_sign_aa	඾	0xdbe	False	
ि	0x93f	devanagari_vowel_sign_i	ি	0x9bf	bengali_vowel_sign_i	ਿ	0xa3f	gurmukhi_vowel_sign_i	િ	0xabf	gujarati_vowel_sign_i	ି	0xb3f	oriya_vowel_sign_i	ி	0xbbf	tamil_vowel_sign_i	ి	0xc3f	telugu_vowel_sign_i	ಿ	0xcbf	kannada_vowel_sign_i	ി	0xd3f	malayalam_vowel_sign_i	඿	0xdbf	False	
ी	0x940	devanagari_vowel_sign_ii	ী	0x9c0	bengali_vowel_sign_ii	ੀ	0xa40	gurmukhi_vowel_sign_ii	ી	0xac0	gujarati_vowel_sign_ii	ୀ	0xb40	oriya_vowel_sign_ii	ீ	0xbc0	tamil_vowel_sign_ii	ీ	0xc40	telugu_vowel_sign_ii	ೀ	0xcc0	kannada_vowel_sign_ii	ീ	0xd40	malayalam_vowel_sign_ii	ව	0xdc0	sinhala_letter_vayanna	
ु	0x941	devanagari_vowel_sign_u	ু	0x9c1	bengali_vowel_sign_u	ੁ	0xa41	gurmukhi_vowel_sign_u	ુ	0xac1	gujarati_vowel_sign_u	ୁ	0xb41	oriya_vowel_sign_u	ு	0xbc1	tamil_vowel_sign_u	ు	0xc41	telugu_vowel_sign_u	ು	0xcc1	kannada_vowel_sign_u	ു	0xd41	malayalam_vowel_sign_u	ශ	0xdc1	sinhala_letter_taaluja_sayanna	
ू	0x942	devanagari_vowel_sign_uu	ূ	0x9c2	bengali_vowel_sign_uu	ੂ	0xa42	gurmukhi_vowel_sign_uu	ૂ	0xac2	gujarati_vowel_sign_uu	ୂ	0xb42	oriya_vowel_sign_uu	ூ	0xbc2	tamil_vowel_sign_uu	ూ	0xc42	telugu_vowel_sign_uu	ೂ	0xcc2	kannada_vowel_sign_uu	ൂ	0xd42	malayalam_vowel_sign_uu	ෂ	0xdc2	sinhala_letter_muurdhaja_sayanna	
ृ	0x943	devanagari_vowel_sign_vocalic_r	ৃ	0x9c3	bengali_vowel_sign_vocalic_r	੃	0xa43	False	ૃ	0xac3	gujarati_vowel_sign_vocalic_r	ୃ	0xb43	oriya_vowel_sign_vocalic_r	௃	0xbc3	False	ృ	0xc43	telugu_vowel_sign_vocalic_r	ೃ	0xcc3	kannada_vowel_sign_vocalic_r	ൃ	0xd43	malayalam_vowel_sign_vocalic_r	ස	0xdc3	sinhala_letter_dantaja_sayanna	
ॄ	0x944	devanagari_vowel_sign_vocalic_rr	ৄ	0x9c4	bengali_vowel_sign_vocalic_rr	੄	0xa44	False	ૄ	0xac4	gujarati_vowel_sign_vocalic_rr	ୄ	0xb44	oriya_vowel_sign_vocalic_rr	௄	0xbc4	False	ౄ	0xc44	telugu_vowel_sign_vocalic_rr	ೄ	0xcc4	kannada_vowel_sign_vocalic_rr	ൄ	0xd44	malayalam_vowel_sign_vocalic_rr	හ	0xdc4	sinhala_letter_hayanna	
ॅ	0x945	devanagari_vowel_sign_candra_e	৅	0x9c5	False	੅	0xa45	False	ૅ	0xac5	gujarati_vowel_sign_candra_e	୅	0xb45	False	௅	0xbc5	False	౅	0xc45	False	೅	0xcc5	False	൅	0xd45	False	ළ	0xdc5	sinhala_letter_muurdhaja_layanna	
